name : kor  eng  math  sci  sum  avg
--------------------------------------
Lee  :  80,  90,  95,  90, 355,  88.75
Kim  :  85,  75,  70,  95, 325,  81.25
Park :  70,  80,  90,  85, 325,  81.25
Yoon :  80,  85,  90,  85, 340,  85.00
Hong :  75,  85,  85,  80, 325,  81.25
Choi :  73,  93,  86,  85, 337,  84.25
You  :  79,  65,  97,  95, 336,  84.00
Son  :  95,  98,  94,  96, 383,  95.75
Jang :  95,  87,  93,  82, 357,  89.25
An   :  75,  84,  71,  88, 318,  79.50
Seo  :  89,  84,  77,  62, 312,  78.00
